Ingredience,Produkt,ID,URL,IMG,Cena,Jednotková cena,Jednotka,Velikost balení,Jednotka balení,Kategorie,Podobnost,Původ kategorie,seznam_receptu,Vhodný produkt
kmín celý,J.C. Horn  Kmín celý,742500,https://www.kosik.cz/p742500-j-c-horn-kmin-cely-1,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/30/860x800x1_30pfgqf12rmb.jpg,20.9,348.333333333,kg,60.0,g,0,0.706,True,"klasická česnečka, valašská kyselica",True
konzervovaná rajčata krájená,ATI Vegetable Rajčata krájená,633130,https://www.kosik.cz/p633130-ati-vegetable-rajcata-krajena,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/68/860x800x1_68osc8kgbnkf.jpg,19.9,49.75,kg,400.0,g,0,0.642,True,dokonalý domácí hamburger,True
krupicový cukr,ARO Cukr krupice,299473,https://www.kosik.cz/p299473-cukr-krupice,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/mh/860x800x1_mho0m575397x.jpg,17.9,17.9,kg,1.0,kg,0,0.787,True,"babiččina bábovka, svíčková",True
kuřecí prsa,"Kuřecí prsní řízky, mražené",717584,https://www.kosik.cz/p717584-rabbit-kureci-prsni-rizky-2,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/kh/860x800x1_khnohstlcyaf.jpg,189.9,189.9,kg,1.0,kg,0,0.65,True,kuřecí vývar s játrovými knedlíčky,True
"kuřecí vnitřnosti droby, křídla, odřezky","Kuřecí křídla, mražená",717590,https://www.kosik.cz/p717590-rabbit-kureci-kridla,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/ll/860x800x1_lld7wt7wzu63.jpg,47.9,95.8,kg,500.0,g,0,0.745,True,kuřecí vývar s játrovými knedlíčky,True
kypřicí prášek do pečiva,Dr. Oetker Originál kypřicí prášek do pečiva 5ks,37927,https://www.kosik.cz/p37927-dr-oetker-original-kyprici-prasek-do-peciva-5ks,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/j1/860x800x1_j114ys0l8vuf.png,17.9,298.333333333,kg,60.0,g,0,0.757,True,babiččina bábovka,True
majonéza,Fine Life Majonéza,385094,https://www.kosik.cz/p385094-fine-life-majoneza,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/hu/860x800x1_hu9gakg4nz9z.jpg,42.9,126.176470588,kg,340.0,g,0,0.728,True,dokonalý domácí hamburger,True
majoránka drhnutá,J.C. Horn Majoránka drhnutá,32447,https://www.kosik.cz/p32447-j-c-horn-majoranka-drhnuta,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/yu/860x800x1_yurbvixetyrh.jpg,7.9,1580.0,kg,5.0,g,0,0.777,True,"babiččina sekaná, dršťková polévka, hovězí guláš, klasická česnečka, kuřecí vývar s játrovými knedlíčky",True
mleté maso mix,Gurmet Mix mělněného hovězího a vepřového masa (max. 20% tuku),661208,https://www.kosik.cz/p661208-everyday-mlete-mix,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/15/860x800x1_15enoefpd419.jpg,99.9,199.8,kg,500.0,g,0,0.51,True,babiččina sekaná,True
mléko,"Dr. Halíř Trvanlivé polotučné mléko (1,5%)",168446,https://www.kosik.cz/p168446-dr-halir-trvanlive-polotucne-polotucne-1-5,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/yg/860x800x1_yg2yljboekme.jpg,21.9,21.9,l,1.0,l,0,0.586,True,"babiččina bábovka, jednoduché palačinky, kuřecí vývar s játrovými knedlíčky, svíčková, valašská kyselica",True
mouka pšeničná hladká,Fine Life Mouka hladká,793112,https://www.kosik.cz/p793112-fine-life-mouka-hladka-1,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/nm/860x800x1_nmgo1l192179.png,12.9,12.9,kg,1.0,kg,0,0.748,True,"dršťková polévka, hovězí guláš, jednoduché palačinky, svíčková, valašská kyselica",True
mouka pšeničná hrubá,Fine Life Mouka Hrubá,793116,https://www.kosik.cz/p793116-fine-life-mouka-hruba-1,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/26/860x800x1_26eeyhq5uaum.jpg,12.9,12.9,kg,1.0,kg,0,0.765,True,babiččina bábovka,True
moučkový cukr,ARO Cukr moučka,299483,https://www.kosik.cz/p299483-cukr-moucka,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/lz/860x800x1_lzya43dml0ai.jpg,21.9,21.9,kg,1.0,kg,0,0.713,True,babiččina bábovka,True
mrkev,"Mrkev praná, balení",11647,https://www.kosik.cz/p11647-mrkev-prana-baleni,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/ic/860x800x1_ic5xk8c2suca.png,34.9,34.9,kg,1.0,kg,0,0.55,True,"kuřecí vývar s játrovými knedlíčky, svíčková",True
máslo,Fine Life Máslo 82% chlazené,721678,https://www.kosik.cz/p721678-fine-life-maslo-82-chlazene,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/ol/860x800x1_ol2tnfh6530s.png,59.9,239.6,kg,250.0,g,0,0.476,True,"babiččina bábovka, svíčková, valašská kyselica",True
nakládané okurky,ARO Okurky 6 - 9 cm,782968,https://www.kosik.cz/p782968-aro-okurky-6-9-cm,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/hl/860x800x1_hlx7bczf4xkk.png,29.9,44.626865672,kg,670.0,g,0,0.522,True,dokonalý domácí hamburger,True
